two_theta	y_obs	y_weights	y_calc	y_diff	y_bkg	q_values	d_spacings
0.64726557	30.65519524	0.03262090	0.00000000	0.00000000	0.00000000	0.42630772	14.73861496
0.65098231	29.83406639	0.03351873	0.00000000	0.00000000	0.00000000	0.42875564	14.65446669
0.65469905	29.25030136	0.03418768	0.00000000	0.00000000	0.00000000	0.43120357	14.57127385
0.65841579	29.05618668	0.03441608	0.00000000	0.00000000	0.00000000	0.43365150	14.48902025
0.66213254	29.00091362	0.03448167	0.00000000	0.00000000	0.00000000	0.43609942	14.40769009
0.66584928	29.22503853	0.03421723	0.00000000	0.00000000	0.00000000	0.43854735	14.32726790
0.66956602	29.46074867	0.03394347	0.00000000	0.00000000	0.00000000	0.44099527	14.24773855
0.67328276	29.12308693	0.03433702	0.00000000	0.00000000	0.00000000	0.44344319	14.16908727
0.67699950	27.65679359	0.03615748	0.00000000	0.00000000	0.00000000	0.44589112	14.09129958
0.68071624	26.10845947	0.03830176	0.00000000	0.00000000	0.00000000	0.44833904	14.01436135
0.68443298	25.19525719	0.03969001	0.00000000	0.00000000	0.00000000	0.45078696	13.93825873
0.68814973	24.71274376	0.04046495	0.00000000	0.00000000	0.00000000	0.45323488	13.86297819
0.69186647	24.63957405	0.04058512	0.00000000	0.00000000	0.00000000	0.45568281	13.78850647
0.69558321	24.66433716	0.04054437	0.00000000	0.00000000	0.00000000	0.45813073	13.71483061
0.69929995	24.80411911	0.04031588	0.00000000	0.00000000	0.00000000	0.46057865	13.64193793
0.70301669	25.02916908	0.03995338	0.00000000	0.00000000	0.00000000	0.46302657	13.56981600
0.70673343	25.38303375	0.03939639	0.00000000	0.00000000	0.00000000	0.46547449	13.49845265
0.71045017	25.76605225	0.03881076	0.00000000	0.00000000	0.00000000	0.46792240	13.42783599
0.71416691	25.97580338	0.03849737	0.00000000	0.00000000	0.00000000	0.47037032	13.35795435
0.71788366	26.26952934	0.03806692	0.00000000	0.00000000	0.00000000	0.47281824	13.28879633
0.72160040	26.61513329	0.03757261	0.00000000	0.00000000	0.00000000	0.47526616	13.22035073
0.72531714	26.96686363	0.03708255	0.00000000	0.00000000	0.00000000	0.47771408	13.15260661
0.72903388	27.19447899	0.03677217	0.00000000	0.00000000	0.00000000	0.48016199	13.08555323
0.73275062	27.41968155	0.03647015	0.00000000	0.00000000	0.00000000	0.48260991	13.01918009
0.73646736	27.49412155	0.03637141	0.00000000	0.00000000	0.00000000	0.48505782	12.95347689
0.74018410	27.67434120	0.03613455	0.00000000	0.00000000	0.00000000	0.48750574	12.88843353
0.74390085	27.80927086	0.03595923	0.00000000	0.00000000	0.00000000	0.48995365	12.82404013
0.74761759	27.94833183	0.03578031	0.00000000	0.00000000	0.00000000	0.49240157	12.76028699
0.75133433	28.08763123	0.03560286	0.00000000	0.00000000	0.00000000	0.49484948	12.69716461
0.75505107	28.28907204	0.03534934	0.00000000	0.00000000	0.00000000	0.49729739	12.63466368
0.75876781	28.53715706	0.03504203	0.00000000	0.00000000	0.00000000	0.49974531	12.57277505
0.76248455	28.73968697	0.03479509	0.00000000	0.00000000	0.00000000	0.50219322	12.51148979
0.76620129	28.77363396	0.03475404	0.00000000	0.00000000	0.00000000	0.50464113	12.45079910
0.76991803	28.68780136	0.03485802	0.00000000	0.00000000	0.00000000	0.50708904	12.39069438
0.77363478	28.60637093	0.03495725	0.00000000	0.00000000	0.00000000	0.50953695	12.33116718
0.77735152	28.63229179	0.03492560	0.00000000	0.00000000	0.00000000	0.51198486	12.27220922
0.78106826	28.77168655	0.03475639	0.00000000	0.00000000	0.00000000	0.51443277	12.21381237
0.78478500	28.92438889	0.03457290	0.00000000	0.00000000	0.00000000	0.51688068	12.15596866
0.78850174	28.99930000	0.03448359	0.00000000	0.00000000	0.00000000	0.51932858	12.09867026
0.79221848	29.00082397	0.03448178	0.00000000	0.00000000	0.00000000	0.52177649	12.04190951
0.79593522	29.09023094	0.03437580	0.00000000	0.00000000	0.00000000	0.52422440	11.98567887
0.79965197	29.18894768	0.03425954	0.00000000	0.00000000	0.00000000	0.52667231	11.92997095
0.80336871	29.33367348	0.03409051	0.00000000	0.00000000	0.00000000	0.52912021	11.87477849
0.80708545	29.42925453	0.03397979	0.00000000	0.00000000	0.00000000	0.53156812	11.82009437
0.81080219	29.50635529	0.03389100	0.00000000	0.00000000	0.00000000	0.53401602	11.76591160
0.81451893	29.42961502	0.03397938	0.00000000	0.00000000	0.00000000	0.53646393	11.71222333
0.81823567	29.31889725	0.03410769	0.00000000	0.00000000	0.00000000	0.53891183	11.65902280
0.82195241	29.29048729	0.03414078	0.00000000	0.00000000	0.00000000	0.54135973	11.60630340
0.82566915	29.31763649	0.03410916	0.00000000	0.00000000	0.00000000	0.54380764	11.55405864
0.82938590	29.31552315	0.03411162	0.00000000	0.00000000	0.00000000	0.54625554	11.50228214
0.83310264	29.28207588	0.03415058	0.00000000	0.00000000	0.00000000	0.54870344	11.45096762
0.83681938	29.24784851	0.03419055	0.00000000	0.00000000	0.00000000	0.55115134	11.40010894
0.84053612	29.27845573	0.03415481	0.00000000	0.00000000	0.00000000	0.55359924	11.34970004
0.84425286	29.34998322	0.03407157	0.00000000	0.00000000	0.00000000	0.55604714	11.29973498
0.84796960	29.44123840	0.03396596	0.00000000	0.00000000	0.00000000	0.55849504	11.25020793
0.85168634	29.45671654	0.03394811	0.00000000	0.00000000	0.00000000	0.56094294	11.20111316
0.85540309	29.44580460	0.03396070	0.00000000	0.00000000	0.00000000	0.56339083	11.15244503
0.85911983	29.41053581	0.03400142	0.00000000	0.00000000	0.00000000	0.56583873	11.10419799
0.86283657	29.31225204	0.03411543	0.00000000	0.00000000	0.00000000	0.56828663	11.05636662
0.86655331	29.31132126	0.03411651	0.00000000	0.00000000	0.00000000	0.57073452	11.00894556
0.87027005	29.53506660	0.03385806	0.00000000	0.00000000	0.00000000	0.57318242	10.96192956
0.87398679	29.76672745	0.03359456	0.00000000	0.00000000	0.00000000	0.57563031	10.91531344
0.87770353	29.79578972	0.03356179	0.00000000	0.00000000	0.00000000	0.57807821	10.86909213
0.88142027	29.59135818	0.03379365	0.00000000	0.00000000	0.00000000	0.58052610	10.82326063
0.88513702	29.52048683	0.03387478	0.00000000	0.00000000	0.00000000	0.58297400	10.77781403
0.88885376	29.53316498	0.03386024	0.00000000	0.00000000	0.00000000	0.58542189	10.73274751
0.89257050	29.54453850	0.03384720	0.00000000	0.00000000	0.00000000	0.58786978	10.68805631
0.89628724	29.55875397	0.03383093	0.00000000	0.00000000	0.00000000	0.59031767	10.64373577
0.90000398	29.56274986	0.03382635	0.00000000	0.00000000	0.00000000	0.59276556	10.59978129
0.90372072	29.64845467	0.03372857	0.00000000	0.00000000	0.00000000	0.59521345	10.55618836
0.90743746	29.73197174	0.03363383	0.00000000	0.00000000	0.00000000	0.59766134	10.51295254
0.91115421	29.77479172	0.03358546	0.00000000	0.00000000	0.00000000	0.60010923	10.47006945
0.91487095	29.69441223	0.03367637	0.00000000	0.00000000	0.00000000	0.60255712	10.42753480
